nom_commune;code_insee;code_departement;population;email;nom_contact;code_postal;latitude;longitude
L'ABERGEMENT-CLÉMENCIAT;01001;1;780;mairieabergementclemenciat@gmail.com;Daniel BOULON;01400;;
L'ABERGEMENT-DE-VAREY;01002;1;234;mairie@abergement-de-varey.fr;Max ORSET;01640;;
AMBÉRIEU-EN-BUGEY;01004;1;13839;accueil@ville-amberieu.fr;Daniel FABRE;01504;;
AMBÉRIEUX-EN-DOMBES;01005;1;1600;mairie@amberieux-en-dombes.fr;Pierre PERNET;01330;;
AMBLÉON;01006;1;112;commune-ambleon@wanadoo.fr;Annie BIONDA;01300;;
AMBRONAY;01007;1;2365;accueil@ambronay.fr;Gisèle LEVRAT;01500;;
AMBUTRIX;01008;1;734;mairie.ambutrix@wanadoo.fr;Dominique DELOFFRE;01500;;
ANDERT-ET-CONDON;01009;1;339;mairie@andertetcondon.fr;Yves DELARUELLE;01300;;
ANGLEFORT;01010;1;1031;mairie.anglefort@gmail.com;Bernard THIBOUD;01350;;
APREMONT;01011;1;374;mairie@apremont-ain.fr;Jean-Pierre GIRARD;01100;;
APREMONT;01011;8;374;mairie.apremont-sur-aire@wanadoo.fr;Jean-Pierre GIRARD;08250;;
APREMONT;01011;60;374;accueil@mairieapremont.fr;Jean-Pierre GIRARD;60300;;
APREMONT;01011;70;374;mairieapremont@wanadoo.fr;Jean-Pierre GIRARD;70100;;
APREMONT;01011;73;374;accueil@mairie-apremont.com;Jean-Pierre GIRARD;73190;;
APREMONT;01011;85;374;mairie@apremont85.fr;Jean-Pierre GIRARD;85220;;
ARANC;01012;1;306;mairie.aranc@wanadoo.fr;Daniel MATHIEU;01110;;
ARANDAS;01013;1;162;mairie.arandas@orange.fr;Lionel MANOS;01230;;
ARBENT;01014;1;3458;mairie@arbent.fr;Liliane MAISSIAT;01100;;
ARBIGNY;01016;1;405;mairie@arbigny.com;Daniel GRAS;01190;;
ARGIS;01017;1;421;mairieargis01@orange.fr;Marcel CHEVE;01230;;
ARMIX;01019;1;20;mairie.armix@wanadoo.fr;Véronique VUILLOUD;01510;;
ARS-SUR-FORMANS;01021;1;1374;mairie@ars-sur-formans.fr;Richard PACCAUD;01480;;
ARTEMARE;01022;1;1140;mairie@artemare.fr;Mireille CHARMONT-MUNET;01510;;
ASNIÈRES-SUR-SAÔNE;01023;1;73;asnieres.saone.mairie@wanadoo.fr;Jean-Marc WILLEMS;01570;;
ATTIGNAT;01024;1;3023;accueil@attignat.fr;Walter MARTIN;01340;;
BÂGÉ-LE-CHÂTEL;01026;1;786;mairie@bage-le-chatel.fr;Jean-claude THEVENOT;01380;;
BALAN;01027;1;2498;infos@ville-balan.fr;Gérard BOUVIER;01360;;
BALAN;01027;8;2498;balan08@wanadoo.fr;Gérard BOUVIER;08200;;
BANEINS;01028;1;567;communebaneins@wanadoo.fr;Jean-Pierre GRANGE;01990;;
BEAUPONT;01029;1;650;mairie@beaupont.fr;Georges GOULY;01270;;
BEAUREGARD;01030;1;867;contact@mairie-beauregard.fr;Daniel DOMPOINT;01480;;
BEAUREGARD;01030;46;867;commune-de-beauregard@orange.fr;Daniel DOMPOINT;46260;;
BELLIGNAT;01031;1;3590;marie-helene.perrin@bellignat.fr;Jean-Georges ARBANT;01100;;
BÉLIGNEUX;01032;1;3040;mairie@ville-beligneux.fr;Francis SIGOIRE;01360;;
BELLEY;01034;1;8761;mairie@belley.fr;Christian JIMENEZ;01300;;
BELLEYDOUX;01035;1;323;mairie@belleydoux.fr;Madeleine DURAFFOURG;01130;;
BÉNONCES;01037;1;273;mairie@benonces.com;Sylvie RIGHETTI;01470;;
BÉNY;01038;1;714;mairie@beny01.fr;Patrick BAVOUX;01370;;
BÉRÉZIAT;01040;1;446;secretariat@commune-bereziat.fr;Jean Jacques THEVENON;01340;;
BETTANT;01041;1;731;mairiedebettant@wanadoo.fr;Jean-Félix FEZZOLI;01500;;
BEY;01042;1;247;mairie.bey@free.fr;Michel GENTIL;01290;;
BEY;01042;71;247;mairie.bey.71@wanadoo.fr;Michel GENTIL;71620;;
BEYNOST;01043;1;4471;accueil@ville-beynost.fr;Michel NICOD;01704;;
BILLIAT;01044;1;516;communedebilliat@wanadoo.fr;Jean-Marc BEAUQUIS;01200;;
BIRIEUX;01045;1;251;mairiebirieux@gmail.com;François CHRISTOLHOMME;01330;;
BIZIAT;01046;1;807;mairiedebiziat@gmail.com;Christian GIRAUD;01290;;
BLYES;01047;1;907;mairie.de.blyes@orange.fr;Daniel MARTIN;01150;;
LA BOISSE;01049;1;2908;mairie@mairie-la-boisse.fr;François DROGUE;01120;;
BOISSEY;01050;1;292;boissey.mairie@wanadoo.fr;Andrée TIRREAU;01190;;
BOLOZON;01051;1;92;mairie.bolozon@orange.fr;Guy BARDET;01450;;
BOULIGNEUX;01052;1;309;mairie.bouligneux@gmail.com;Laurent COMTET;01330;;
BOURG-EN-BRESSE;01053;1;39882;mairie@bourgenbresse.fr;Jean François DEBAT;01000;;
BOURG-SAINT-CHRISTOPHE;01054;1;1201;bscmairie@orange.fr;Bernard PERRET;01800;;
BOYEUX-SAINT-JÉRÔME;01056;1;339;maire@boyeuxsaintjerome.fr;Marie-Christine CHAPEL;01640;;
BOZ;01057;1;498;mairie@communeboz.fr;Monique JOUBERT-LAURENCIN;01190;;
BRÉGNIER-CORDON;01058;1;862;mairie@bregnier-cordon.fr;Raynald CHAHINE;01300;;
BRÉNOD;01060;1;543;contact@brenod.com;Annie CARRIER;01110;;
BRENS;01061;1;1184;mairie.brens@wanadoo.fr;Jean-Marc PAITA;01300;;
BRENS;01061;81;1184;mairie-de-brens@wanadoo.fr;Jean-Marc PAITA;81600;;
BRESSOLLES;01062;1;742;mairiebressolles@hotmail.com;Fabrice BEAUVOIS;01360;;
BRESSOLLES;01062;3;742;mairie.bressolles@wanadoo.fr;Fabrice BEAUVOIS;03000;;
BRION;01063;1;522;mairie@brion01.fr;André CORTINOVIS;01460;;
BRION;01063;36;522;biblio.brion@orange.fr;André CORTINOVIS;36110;;
BRION;01063;38;522;mairie.brion38@wanadoo.fr;André CORTINOVIS;38590;;
BRION;01063;48;522;commune-de-brion0978@orange.fr;André CORTINOVIS;48310;;
BRION;01063;71;522;mairiebrion.setl@wanadoo.fr;André CORTINOVIS;71190;;
BRION;01063;86;522;contact@brion86.fr;André CORTINOVIS;86160;;
BRION;01063;89;522;mairie-brion89@wanadoo.fr;André CORTINOVIS;89400;;
BRIORD;01064;1;902;briord.commune@orange.fr;Jacky LAMBERT;01470;;
BUELLAS;01065;1;1694;accueil@buellas.fr;Michel CHANEL;01310;;
LA BURBANCHE;01066;1;74;mairie.burbanche1@orange.fr;Patrick MARIE;01510;;
CEIGNES;01067;1;261;mairie-de-ceignes@wanadoo.fr;Alain AUBOEUF;01430;;
CERDON;01068;1;741;cerdon.mairie@wanadoo.fr;Sylvie GOY-CHAVENT;01450;;
CERDON;01068;45;741;mairie.cerdon@wanadoo.fr;Sylvie GOY-CHAVENT;45620;;
CERTINES;01069;1;1447;mairie@certines.fr;Eric THOMAS;01240;;
CESSY;01071;1;4167;mairie-cessy@mairie-cessy.fr;Christophe BOUVIER;01170;;
CEYZÉRIAT;01072;1;2838;commune.ceyzeriat@orange.fr;Jean-Yves FLOCHON;01250;;
CEYZÉRIEU;01073;1;954;mairie@ceyzerieu.fr;Bernard REUTER;01350;;
CHALAMONT;01074;1;2365;contact@mairie-chalamont.fr;Ali BENMEDJAHED;01320;;
CHALEINS;01075;1;1156;accueil@chaleins.fr;Gilbert GROS;01480;;
CHALEY;01076;1;133;mairie@chaley.fr;Jean-Paul PERSICO;01230;;
CHALLES-LA-MONTAGNE;01077;1;175;mairie.challeslamontagne@wanadoo.fr;Marie-Christine CUTURIER;01450;;
CHALLEX;01078;1;1268;challex@challex.fr;Claude CHAPPUIS;01630;;
CHAMPAGNE-EN-VALROMEY;01079;1;771;champagne-val.mairie@wanadoo.fr;Claude JUILLET;01260;;
